,SEID,ProductionID,USViewerCountMil
0,S1E1,101,15.4
1,S1E2,103,22.5
2,S1E3,104,19.7
3,S1E4,102,19.1
4,S1E5,105,19.4
0,S2E1,201,15.6
1,S2E2,202,15.2
2,S2E3,205,14.8
3,S2E4,207,13.6
4,S2E5,208,24.7
5,S2E6,210,23.3
6,S2E7,212,19.6
7,S2E8,211,20.6
8,S2E9,213,22.9
9,S2E10,204,17.2
10,S2E11,206,16.8
11,S2E12,203,12.5
0,S3E1,301,21.7
1,S3E2,302,16.7
2,S3E3,305,15.1
3,S3E4,303,17.2
4,S3E5,304,16.4
5,S3E6,306,17.0
6,S3E7,307,16.4
7,S3E8,308,15.8
8,S3E9,309,16.3
9,S3E10,209[46],18.6
10,S3E11,310,18.0
11,S3E12,311,17.9
12,S3E13,313,18.7
13,S3E14,314,19.2
14,S3E15,312,16.9
15,S3E16,317,18.5
17,S3E19,318,19.5
18,S3E20,319,16.1
19,S3E21,320,22.3
20,S3E22,322,17.8
21,S3E23,321,16.4
0,S4E12,401402,16.3
1,S4E3,403,17.6
2,S4E4,404,17.6
3,S4E5,405,17.6
4,S4E6,406,15.2
5,S4E7,407,17.1
6,S4E8,408,15.1
7,S4E9,409,16.7
8,S4E10,410,16.2
9,S4E11,411,18.5
10,S4E12,412,14.5
11,S4E13,413,16.2
12,S4E14,415,17.6
13,S4E15,414,11.5
14,S4E16,417,26.9
15,S4E17,416,28.0
16,S4E18,418,22.7
17,S4E19,419,27.4
18,S4E20,421,26.4
19,S4E21,422,25.0
20,S4E22,420,27.6
0,S5E1,501,28.2
1,S5E2,503,29.5
2,S5E3,502,28.7
3,S5E4,504,28.4
4,S5E5,505,28.7
5,S5E6,506,31.0
6,S5E7,507,31.1
7,S5E8,508,29.7
8,S5E9,509,27.7
9,S5E10,510,29.6
10,S5E11,511,28.3
11,S5E12,512,35.0
12,S5E13,514,33.0
13,S5E14,513,35.0
14,S5E15,515,
15,S5E16,516,25.4
16,S5E17,517,30.7
18,S5E20,518,27.6
19,S5E21,522,24.5
20,S5E22,521,30.1
0,S6E1,601,32.8
1,S6E2,602,32.4
2,S6E3,603,29.8
3,S6E4,604,29.2
4,S6E5,605,28.0
5,S6E6,606,30.6
6,S6E7,608,29.6
7,S6E8,607,32.4
8,S6E9,609,29.7
9,S6E10,612,26.8
10,S6E11,610,36.6
11,S6E12,611,36.2
12,S6E13,613,33.4
14,S6E16,615,32.9
15,S6E17,614,33.4
16,S6E18,616,33.4
17,S6E19,617,31.1
18,S6E20,618,30.7
19,S6E21,619,28.2
20,S6E22,620,28.9
21,S6E23,622,26.5
22,S6E24,621,29.8
0,S7E1,701,37.6
1,S7E2,702,34.5
2,S7E3,703,34.6
3,S7E4,704,32.3
4,S7E5,705,32.6
5,S7E6,706,33.1
6,S7E7,707,33.9
7,S7E8,708,33.4
8,S7E9,709,32.3
9,S7E10,710,31.4
10,S7E11,711,35.1
11,S7E12,712,32.0
12,S7E13,713,37.1
14,S7E16,715,32.3
15,S7E17,716,32.9
16,S7E18,718,32.7
17,S7E19,719,30.5
18,S7E20,720,28.5
20,S7E23,723,29.9
21,S7E24,724,33.2
0,S8E1,801,33.72
1,S8E2,802,33.24
2,S8E3,803,31.62
3,S8E4,804,32.24
4,S8E5,805,30.13
5,S8E6,806,30.33
6,S8E7,807,32.01
7,S8E8,808,34.09
8,S8E9,809,34.35
9,S8E10,810,29.65
10,S8E11,811,34.48
11,S8E12,813,37.34
12,S8E13,812,33.50
13,S8E14,814,33.82
14,S8E15,815,32.00
15,S8E16,816,33.83
16,S8E17,817,31.27
17,S8E18,818,32.22
18,S8E19,819,31.64
19,S8E20,820,29.30
20,S8E21,821,31.09
21,S8E22,822,29.80
0,S9E1,901,37.78
1,S9E2,902,30.93
2,S9E3,903,30.15
3,S9E4,904,31.45
4,S9E5,905,30.24
5,S9E6,906,31.64
6,S9E7,907,32.77
7,S9E8,908,33.99
8,S9E9,909,30.47
9,S9E10,910,30.79
10,S9E11,911,32.86
11,S9E12,912,33.48
12,S9E13,913,33.19
13,S9E14,914,31.63
14,S9E15,915,30.51
15,S9E16,916,30.92
16,S9E17,917,29.60
17,S9E18,918,30.66
18,S9E19,919,33.32
19,S9E20,920,38.78
