Actor,Character,Script_Name
Jerry Seinfeld,Jerry Seinfeld,JERRY
Julia Louis-Dreyfus,Elaine Benes,ELAINE
Jason Alexander,George Costanza,GEORGE
Michael Richards,Cosmo Kramer,KRAMER
Ruth Cohen,Ruthie Cohen,COHEN
Wayne Knight,Newman,NEWMAN
Norman Brenner,Man on Sidewalk,MAN
Heidi Swedberg,Susan Ross,SUSAN
Estelle Harris,Estelle Costanza,STAN
Jerry Stiller,Frank Costanza,STAN
Liz Sheridan,Helen Seinfeld,HELEN
John O'Hurley,J. Peterman,PETERMAN
Barney Martin,Morty Seinfeld,MORTY
Len Lesser,Uncle Leo,LEO
Deck McKenzie,Angry Man,MAN
Richard Herd,Wilhelm,WILHELM
Peggy Lane,Office Worker,OFF
Richard Fancy,Lippman,LIPPMAN
Patrick Warburton,David Puddy,DAVID
Lauren Bowles,Waitress,WAITRESS
Ian Abercrombie,Justin Pitt,PITT
David Blackwood,Beck,BECK
Danny Woodburn,Mickey Abbott,MICKEY
Joe Urla,Dugan,DUGAN
Steve Hytner,Kenny Bania,BANIA
Lawrence A. Mandley,Manager,MANAGER
Bob Balaban,Russell Dalrymple,RUSSELL
Bryan Cranston,Tim Whatley,TIM
Peter Crombie,'Crazy' Joe Davola,DAVOLA
Warren Frost,Henry Ross,ROSS
Phil Morris,Jackie Chiles,JACK
Peter Blood,Jay Crespi,JAY
Kevin Page,Stu Chermack,MAC
Grace Zabriskie,Mrs. Ross,MRS.
David Richardson,Customer,CUSTOMER
Daniel von Bargen,Kruger,KRUGER
Marty Rackham,Jake Jarmel,ARM
Brenda Strong,Sue Ellen Mischke,ELLEN
Lisa Mende,Carol,CAROL
Tom Wright,Morgan,MORGAN
Sandy Baron,Jack Klompus,JACK
Stephen McHattie,Dr. Reston,RESTON
Wayne Wilderson,Walter,WALTER
Lisa Pescia,Joanne,JOANNE
Annie Korzen,Doris,DORIS
Julie Claire,Receptionist,RECEPTIONIST
Victor Raider-Wexler,Dr. Wexler,WE
Reni Santoni,Poppie,POPPIE
Ping Wu,Ping,PING
Jane Leeves,Marla Penny,MARLA
Steve Skrovan,Tommy,O
Judy Kerr,Woman,WOMAN
David Mandel,Farmer,FARMER
Bruce Davison,Wyck Thayer,WYCK
Siobhan Fallon Hogan,Tina,TINA
Gina Hecht,Dana Foley,DAN
Billye Ree Wallace,Nana,NANA
Mary Jo Keenen,Deena Lazzari,DEENA
John Paragon,Cedric,CEDRIC
Yul Vazquez,Bob,BOB
Veralyn Jones,Renee,RENE
Brian George,Babu Bhatt,BABU
Hiram Kasten,Michael,MICHAEL
Melanie Smith,Rachel Goldstein,OLD
David Dunard,Guard,GUARD
Frances Bay,Mabel Choate,MABEL
Tucker Smallwood,Malcolm,MALCOLM
Nancy Balbirer,Alice,I
Bob Shaw,Cabbie,CABBIE
Bruce Mahler,Rabbi Glickman,MAN
Jennifer Campbell,Tia Van Camp,TIA
Kari Coleman,Allison,ALLISON
Thomas Dekker,Bobby,BOBBY
Brian Doyle-Murray,Mel Sanger,MEL
Teri Hatcher,Sidra Holland,SID
Jeffrey Kurt Miller,Event Guard,GUARD
Jon Hayman,Donald Sanger,SANGER
Carol Leifer,Barbara - Bank Employee,BARBARA
Steve Koren,Cab Driver,DRIVER
Lynn Clark,Vanessa,VANESSA
Peter Murnik,Lt. Martel,MARTEL
Lisa Edelstein,Karen,KAREN
Janeane Garofalo,Jeannie Steinman,MAN
Anita Wise,Waitress,WAITRESS
Christine Dunford,Leslie,LESLIE
Tracy Kolis,Kelly,KELLY
Suzanne Snyder,Audrey,AUDREY
Jay Brooks,Sid,SID
Lee Arenberg,Mike Moffitt,MIKE
Anne Twomey,Rita Kirson,RITA
Elmarie Wendel,Helene,HELEN
Tim DeKay,Kevin,KEVIN
Teri Austin,Ava,AVA
Gail Strickland,Jocelyn Landis,LANDIS
Vicki Lewis,Ada,ADA
Kelly Coffield Park,Noreen,NOREEN
Mario Joyner,Lamar,LAMAR
Gordon Jump,Thomassoulo,THOMASSOULO
Robert Hooks,Joe Temple,JOE
Matt McCoy,Lloyd Braun,LLOYD
Debra Jo Rupp,Katie,KATIE
Mark Metcalf,Bob Cobb,C
Kathy Griffin,Sally Weaver,ALL
Debra Messing,Beth Lukner,BETH
Kristin Davis,Jenna,JENNA
Maryedith Burrell,Maryedith,MARYEDITH
Ricky Dean Logan,Hippie #1,HIPPIE#1
Susan Walters,Dolores,DOLORES
Megan Cole,Peggy,PEGGY
Maud Winchester,Hippie #2,HIPPIE#2
Jessica Lundy,Hostess,HOSTESS
Vaughn Armstrong,Lt. Coleman,MAN
Rick Hall,Vet,VET
Lloyd Bridges,Izzy Mandelbaum,MAN
George C. Simms,FBI Man,MAN
Kate Benton,Roberta,ROBERTA
Jessica Hecht,Lindsay,LINDSAY
Danny Tartabull,Danny Tartabull,DAN
Jon Gries,Homeless Man,MAN
Ann Morgan Guilbert,Evelyn,EVELYN
Michael Mitz,Phone Guy,GUY
Denise Dowse,Mother,MOTHER
Patrick Cronin,Sid Farkus,SID
Sam Lloyd,Ricky,RICKY
Chaim Jeraffi,Jiffy Dump Guy,GUY
Rance Howard,Blind Man,MAN
Fred Pinkard,Newsstand Boy,NEWSSTAND
O'Neal Compton,Earl,EARL
Henry Woronicz,Father Curtis,THE
Frank Piazza,Cop,COP
Kate Mulligan,Party Guest,PARTY
Mik Scriba,Bomb Squad Guy,GUY
C.K. Steefel,Kramer's Girlfriend,KRAMER
Christa Miller,Ellen,ELLEN
Melanie Chartoff,Robin,ROBIN
Benjamin Lum,Mailman,MAILMAN
Heather James,The Waitress,WAITRESS
Keith Morrison,Newscaster,NEWSCASTER
Kathryn Kates,Counter Woman,WOMAN
Mary Scheer,Joan,JOAN
Sandy Ward,Pop,POP
Monica Allison,Gail,GAIL
Todd Bosley,Joey,JOEY
Diana Castle,Mrs. Zanfino,MRS.
Gene Dynarski,Izzy Mandelbaum Jr.,MAN
John Christian Graas,Matthew,MATTHEW
David Byrd,Pharmacist,PHARMACIST
Thom Barry,Manager,MANAGER
Clive Rosengren,Mr. Clotworthy,CLOTWORTHY
Sonya Eddy,Rebecca DeMornay,REBECCA
