Unnamed: 0,Season,EpisodeNo,Title,AirDate,Director,SEID,Writer_0,Writer_1,Writer_2,Writer_3,Writer_4,Writer_5,Writer_6,Writer_7,Writer_8,Writer_9
0,1,1,"Good News, Bad News",1989-07-05,Art Wolff,S01E01,Larry David,Jerry Seinfeld,,,,,,,,
1,1,1,The Stakeout,1990-05-31,Tom Cherones,S01E01,Larry David,Jerry Seinfeld,,,,,,,,
2,1,2,The Robbery,1990-06-07,Tom Cherones,S01E02,Matt Goldman,,,,,,,,,
3,1,3,Male Unbonding,1990-06-14,Tom Cherones,S01E03,Larry David,Jerry Seinfeld,,,,,,,,
4,1,4,The Stock Tip,1990-06-21,Tom Cherones,S01E04,Larry David,Jerry Seinfeld,,,,,,,,
5,2,1,The Ex-Girlfriend,1991-01-16,Tom Cherones,S02E01,Larry David,Jerry Seinfeld,,,,,,,,
6,2,2,The Pony Remark,1991-01-30,Tom Cherones,S02E02,Larry David,Jerry Seinfeld,,,,,,,,
7,2,3,The Jacket,1991-02-06,Tom Cherones,S02E03,Larry David,Jerry Seinfeld,,,,,,,,
8,2,4,The Phone Message,1991-02-13,Tom Cherones,S02E04,Larry David,Jerry Seinfeld,,,,,,,,
9,2,5,The Apartment,1991-04-04,Tom Cherones,S02E05,Peter Mehlman,,,,,,,,,
10,2,6,The Statue,1991-04-11,Tom Cherones,S02E06,Larry David,,,,,,,,,
11,2,7,The Revenge,1991-04-18,Tom Cherones,S02E07,Larry David,,,,,,,,,
12,2,8,The Heart Attack,1991-04-25,Tom Cherones,S02E08,Larry Charles,,,,,,,,,
13,2,9,The Deal,1991-05-02,Tom Cherones,S02E09,Larry Charles,,,,,,,,,
14,2,10,The Baby Shower,1991-05-16,Tom Cherones,S02E10,Larry Charles,,,,,,,,,
15,2,11,The Chinese Restaurant,1991-05-23,Tom Cherones,S02E11,Larry David,Jerry Seinfeld,,,,,,,,
16,2,12,The Busboy,1991-06-26,Tom Cherones,S02E12,Larry David,Jerry Seinfeld,,,,,,,,
17,3,1,The Note,1991-09-18,Tom Cherones,S03E01,Larry David,,,,,,,,,
